ID,group,water_depth,date,days,length_cm
T4-1,T4,2,25/7/2014,15,1.804
T4-2,T4,2,25/7/2014,15,1.832
T4-3,T4,2,25/7/2014,15,2.182
T4-4,T4,2,25/7/2014,15,2.561
T4-5,T4,2,25/7/2014,15,1.992
T4-7,T4,2,25/7/2014,15,2.422
T4-8,T4,2,25/7/2014,15,2.045
T4-9,T4,2,25/7/2014,15,2.084
T4-10,T4,2,25/7/2014,15,1.726
T4-11,T4,2,25/7/2014,15,2.275
T4-12,T4,2,25/7/2014,15,2.266
T4-1,T4,2,31/7/2014,21,2.191
T4-2,T4,2,31/7/2014,21,2.958
T4-3,T4,2,31/7/2014,21,2.817
T4-4,T4,2,31/7/2014,21,3.305
T4-5,T4,2,31/7/2014,21,2.843
T4-7,T4,2,31/7/2014,21,2.644
T4-8,T4,2,31/7/2014,21,2.312
T4-9,T4,2,31/7/2014,21,2.904
T4-10,T4,2,31/7/2014,21,1.966
T4-11,T4,2,31/7/2014,21,2.776
T4-12,T4,2,31/7/2014,21,2.767
T4-9,T4,2,7/8/2014,28,3.299
T4-11,T4,2,7/8/2014,28,3.222
T4-12,T4,2,7/8/2014,28,3.254
T5-1,T5,2-0.25,10/7/2014,1,0.654
T5-2,T5,2-0.25,10/7/2014,1,0.787
T5-3,T5,2-0.25,10/7/2014,1,0.829
T5-4,T5,2-0.25,10/7/2014,1,0.876
T5-5,T5,2-0.25,10/7/2014,1,0.863
T5-6,T5,2-0.25,10/7/2014,1,0.858
T5-7,T5,2-0.25,10/7/2014,1,0.893
T5-8,T5,2-0.25,10/7/2014,1,0.804
T5-9,T5,2-0.25,10/7/2014,1,0.874
T5-10,T5,2-0.25,10/7/2014,1,0.786
T5-11,T5,2-0.25,10/7/2014,1,0.84
T5-12,T5,2-0.25,10/7/2014,1,0.806
T5-1,T5,2-0.25,18/7/2014,8,1.888
T5-2,T5,2-0.25,18/7/2014,8,1.5
T5-3,T5,2-0.25,18/7/2014,8,1.388
T5-4,T5,2-0.25,18/7/2014,8,1.732
T5-5,T5,2-0.25,18/7/2014,8,1.641
T5-6,T5,2-0.25,18/7/2014,8,1.516
T5-7,T5,2-0.25,18/7/2014,8,1.533
T5-8,T5,2-0.25,18/7/2014,8,1.165
T5-9,T5,2-0.25,18/7/2014,8,1.52
T5-10,T5,2-0.25,18/7/2014,8,1.529
T5-11,T5,2-0.25,18/7/2014,8,1.61
T5-12,T5,2-0.25,18/7/2014,8,1.674
T5-1,T5,2-0.25,25/7/2014,15,2.734
T5-2,T5,2-0.25,25/7/2014,15,1.988
T5-3,T5,2-0.25,25/7/2014,15,2.379
T5-4,T5,2-0.25,25/7/2014,15,2.244
T5-5,T5,2-0.25,25/7/2014,15,2.609
T5-6,T5,2-0.25,25/7/2014,15,1.761
T5-7,T5,2-0.25,25/7/2014,15,2.298
T5-8,T5,2-0.25,25/7/2014,15,1.845
T5-9,T5,2-0.25,25/7/2014,15,1.496
T5-10,T5,2-0.25,25/7/2014,15,2.128
T5-11,T5,2-0.25,25/7/2014,15,2.306
T5-12,T5,2-0.25,25/7/2014,15,2.402
T5-1,T5,2-0.25,31/7/2014,21,2.6
T5-2,T5,2-0.25,31/7/2014,21,2.36
T5-3,T5,2-0.25,31/7/2014,21,2.725
T5-4,T5,2-0.25,31/7/2014,21,2.462
T5-5,T5,2-0.25,31/7/2014,21,2.836
T5-6,T5,2-0.25,31/7/2014,21,2.316
T5-7,T5,2-0.25,31/7/2014,21,2.675
T5-8,T5,2-0.25,31/7/2014,21,2.36
T5-9,T5,2-0.25,31/7/2014,21,2.115
T5-10,T5,2-0.25,31/7/2014,21,2.539
T5-11,T5,2-0.25,31/7/2014,21,2.667
T5-12,T5,2-0.25,31/7/2014,21,2.608
T5-6,T5,2-0.25,7/8/2014,28,2.608
